Sigma(Neff),Spin-0,Spin-½,Spin-1,FORECAST,,,
0.1395,1.070E+02,1.531E+02,1.624E+02,,,,
0.1400,1.066E+02,1.529E+02,1.621E+02,,,,
0.1405,1.062E+02,1.527E+02,1.618E+02,,,,
0.1410,1.058E+02,1.525E+02,1.615E+02,,,,
0.1415,1.054E+02,1.523E+02,1.612E+02,,,,
0.1420,1.049E+02,1.521E+02,1.610E+02,,,,
0.1425,1.045E+02,1.519E+02,1.607E+02,,,,
0.1430,1.041E+02,1.517E+02,1.604E+02,,,,
0.1435,1.037E+02,1.515E+02,1.601E+02,,,,
0.1440,1.033E+02,1.514E+02,1.598E+02,,,,
0.1445,1.029E+02,1.512E+02,1.596E+02,,,,
0.1450,1.024E+02,1.510E+02,1.593E+02,,,,
0.1455,1.020E+02,1.508E+02,1.590E+02,,,,
0.1460,1.016E+02,1.506E+02,1.587E+02,,,,
0.1465,1.012E+02,1.505E+02,1.585E+02,,,,
0.1470,1.008E+02,1.503E+02,1.582E+02,,,,
0.1475,1.004E+02,1.501E+02,1.580E+02,,,,
0.1480,9.996E+01,1.499E+02,1.577E+02,,,,
0.1485,9.954E+01,1.498E+02,1.575E+02,,,,
0.1490,9.910E+01,1.496E+02,1.572E+02,,,,
0.1495,9.864E+01,1.494E+02,1.570E+02,,,,
0.1500,9.816E+01,1.492E+02,1.568E+02,,,,
0.1505,9.766E+01,1.490E+02,1.565E+02,,,,
0.1510,9.715E+01,1.489E+02,1.563E+02,,,,
0.1515,9.663E+01,1.487E+02,1.561E+02,,,,
0.1520,9.608E+01,1.485E+02,1.559E+02,,,,
0.1525,9.553E+01,1.483E+02,1.557E+02,,,,
0.1530,9.496E+01,1.482E+02,1.555E+02,,,,
0.1535,9.438E+01,1.480E+02,1.553E+02,,,,
0.1540,9.379E+01,1.478E+02,1.551E+02,,,,
0.1545,9.320E+01,1.476E+02,1.549E+02,,,,
0.1550,9.259E+01,1.474E+02,1.547E+02,,,,
0.1555,9.197E+01,1.472E+02,1.545E+02,,,,
0.1560,9.135E+01,1.471E+02,1.543E+02,,,,
0.1565,9.071E+01,1.469E+02,1.541E+02,,,,
0.1570,9.008E+01,1.467E+02,1.539E+02,,,,
