Years,DetYr,A4/ScaledDelensing,A7/ScaledDelensing,,,,,,,,,,,,,,,A4/FixedDelensing,A7/FixedDelensing,,SPO-Years
9.6,2.70E+06,2.96E-04,3.99E-04,,,,,,,,,,,,,,,3.24E-04,4.25E-04,,53.24
9.7,2.72E+06,2.94E-04,3.97E-04,,,,,,,,,,,,,,,3.23E-04,4.23E-04,,53.80
9.8,2.75E+06,2.92E-04,3.94E-04,,,,,,,,,,,,,,,3.22E-04,4.21E-04,,54.35
9.9,2.78E+06,2.90E-04,3.92E-04,,,,,,,,,,,,,,,3.21E-04,4.20E-04,,54.91
10.0,2.81E+06,2.88E-04,3.89E-04,,,,,,,,,,,,,,,3.20E-04,4.18E-04,,55.46
10.1,2.84E+06,2.86E-04,3.87E-04,,,,,,,,,,,,,,,3.19E-04,4.16E-04,,56.02
10.2,2.87E+06,2.85E-04,3.85E-04,,,,,,,,,,,,,,,3.18E-04,4.15E-04,,56.57
10.3,2.89E+06,2.83E-04,3.82E-04,,,,,,,,,,,,,,,3.17E-04,4.13E-04,,57.12
10.4,2.92E+06,2.81E-04,3.80E-04,,,,,,,,,,,,,,,3.16E-04,4.12E-04,,57.68
10.5,2.95E+06,2.80E-04,3.78E-04,,,,,,,,,,,,,,,3.16E-04,4.10E-04,,58.23
10.6,2.98E+06,2.78E-04,3.76E-04,,,,,,,,,,,,,,,3.15E-04,4.09E-04,,58.79
10.7,3.01E+06,2.76E-04,3.74E-04,,,,,,,,,,,,,,,3.14E-04,4.07E-04,,59.34
10.8,3.03E+06,2.75E-04,3.72E-04,,,,,,,,,,,,,,,3.13E-04,4.06E-04,,59.90
10.9,3.06E+06,2.73E-04,3.70E-04,,,,,,,,,,,,,,,3.12E-04,4.05E-04,,60.45
11.0,3.09E+06,2.72E-04,3.67E-04,,,,,,,,,,,,,,,3.11E-04,4.03E-04,,61.01
11.1,3.12E+06,2.70E-04,3.65E-04,,,,,,,,,,,,,,,3.11E-04,4.02E-04,,61.56
11.2,3.15E+06,2.69E-04,3.64E-04,,,,,,,,,,,,,,,3.10E-04,4.01E-04,,62.12
11.3,3.17E+06,2.67E-04,3.62E-04,,,,,,,,,,,,,,,3.09E-04,3.99E-04,,62.67
11.4,3.20E+06,2.66E-04,3.60E-04,,,,,,,,,,,,,,,3.08E-04,3.98E-04,,63.23
11.5,3.23E+06,2.64E-04,3.58E-04,,,,,,,,,,,,,,,3.08E-04,3.97E-04,,63.78
11.6,3.26E+06,2.63E-04,3.56E-04,,,,,,,,,,,,,,,3.07E-04,3.95E-04,,64.33
11.7,3.29E+06,2.62E-04,3.54E-04,,,,,,,,,,,,,,,3.06E-04,3.94E-04,,64.89
11.8,3.31E+06,2.60E-04,3.52E-04,,,,,,,,,,,,,,,3.05E-04,3.93E-04,,65.44
11.9,3.34E+06,2.59E-04,3.50E-04,,,,,,,,,,,,,,,3.05E-04,3.92E-04,,66.00
12.0,3.37E+06,2.58E-04,3.49E-04,,,,,,,,,,,,,,,3.04E-04,3.91E-04,,66.55
12.1,3.40E+06,2.56E-04,3.47E-04,,,,,,,,,,,,,,,3.03E-04,3.89E-04,,67.11
12.2,3.43E+06,2.55E-04,3.45E-04,,,,,,,,,,,,,,,3.03E-04,3.88E-04,,67.66
12.3,3.46E+06,2.54E-04,3.43E-04,,,,,,,,,,,,,,,3.02E-04,3.87E-04,,68.22
12.4,3.48E+06,2.53E-04,3.42E-04,,,,,,,,,,,,,,,3.02E-04,3.86E-04,,68.77
12.5,3.51E+06,2.51E-04,3.40E-04,,,,,,,,,,,,,,,3.01E-04,3.85E-04,,69.33
12.6,3.54E+06,2.50E-04,3.39E-04,,,,,,,,,,,,,,,3.00E-04,3.84E-04,,69.88
12.7,3.57E+06,2.49E-04,3.37E-04,,,,,,,,,,,,,,,3.00E-04,3.83E-04,,70.44
12.8,3.60E+06,2.48E-04,3.35E-04,,,,,,,,,,,,,,,2.99E-04,3.82E-04,,70.99
12.9,3.62E+06,2.47E-04,3.34E-04,,,,,,,,,,,,,,,2.99E-04,3.81E-04,,71.54
13.0,3.65E+06,2.45E-04,3.32E-04,,,,,,,,,,,,,,,2.98E-04,3.80E-04,,72.10
13.1,3.68E+06,2.44E-04,3.31E-04,,,,,,,,,,,,,,,2.97E-04,3.79E-04,,72.65
13.2,3.71E+06,2.43E-04,3.29E-04,,,,,,,,,,,,,,,2.97E-04,3.78E-04,,73.21
13.3,3.74E+06,2.42E-04,3.28E-04,,,,,,,,,,,,,,,2.96E-04,3.77E-04,,73.76
13.4,3.76E+06,2.41E-04,3.26E-04,,,,,,,,,,,,,,,2.96E-04,3.76E-04,,74.32
13.5,3.79E+06,2.40E-04,3.25E-04,,,,,,,,,,,,,,,2.95E-04,3.75E-04,,74.87
13.6,3.82E+06,2.39E-04,3.23E-04,,,,,,,,,,,,,,,2.95E-04,3.74E-04,,75.43
13.7,3.85E+06,2.38E-04,3.22E-04,,,,,,,,,,,,,,,2.94E-04,3.73E-04,,75.98
13.8,3.88E+06,2.37E-04,3.20E-04,,,,,,,,,,,,,,,2.94E-04,3.72E-04,,76.54
13.9,3.90E+06,2.36E-04,3.19E-04,,,,,,,,,,,,,,,2.93E-04,3.71E-04,,77.09
14.0,3.93E+06,2.35E-04,3.18E-04,,,,,,,,,,,,,,,2.93E-04,3.70E-04,,77.65
14.1,3.96E+06,2.34E-04,3.16E-04,,,,,,,,,,,,,,,2.92E-04,3.69E-04,,78.20
14.2,3.99E+06,2.33E-04,3.15E-04,,,,,,,,,,,,,,,2.92E-04,3.68E-04,,78.75
14.3,4.02E+06,2.32E-04,3.14E-04,,,,,,,,,,,,,,,2.91E-04,3.67E-04,,79.31
14.4,4.05E+06,2.31E-04,3.12E-04,,,,,,,,,,,,,,,2.91E-04,3.66E-04,,79.86
14.5,4.07E+06,2.30E-04,3.11E-04,,,,,,,,,,,,,,,2.90E-04,3.66E-04,,80.42
14.6,4.10E+06,2.29E-04,3.10E-04,,,,,,,,,,,,,,,2.90E-04,3.65E-04,,80.97
14.7,4.13E+06,2.28E-04,3.08E-04,,,,,,,,,,,,,,,2.89E-04,3.64E-04,,81.53
14.8,4.16E+06,2.27E-04,3.07E-04,,,,,,,,,,,,,,,2.89E-04,3.63E-04,,82.08
14.9,4.19E+06,2.26E-04,3.06E-04,,,,,,,,,,,,,,,2.88E-04,3.62E-04,,82.64
15.0,4.21E+06,2.25E-04,3.05E-04,,,,,,,,,,,,,,,2.88E-04,3.61E-04,,83.19
15.1,4.24E+06,2.24E-04,3.04E-04,,,,,,,,,,,,,,,2.88E-04,3.61E-04,,83.75
15.2,4.27E+06,2.24E-04,3.02E-04,,,,,,,,,,,,,,,2.87E-04,3.60E-04,,84.30
15.3,4.30E+06,2.23E-04,3.01E-04,,,,,,,,,,,,,,,2.87E-04,3.59E-04,,84.86
15.4,4.33E+06,2.22E-04,3.00E-04,,,,,,,,,,,,,,,2.86E-04,3.58E-04,,85.41
15.5,4.35E+06,2.21E-04,2.99E-04,,,,,,,,,,,,,,,2.86E-04,3.58E-04,,85.96
15.6,4.38E+06,2.20E-04,2.98E-04,,,,,,,,,,,,,,,2.85E-04,3.57E-04,,86.52
15.7,4.41E+06,2.19E-04,2.97E-04,,,,,,,,,,,,,,,2.85E-04,3.56E-04,,87.07
15.8,4.44E+06,2.19E-04,2.95E-04,,,,,,,,,,,,,,,2.85E-04,3.55E-04,,87.63
15.9,4.47E+06,2.18E-04,2.94E-04,,,,,,,,,,,,,,,2.84E-04,3.55E-04,,88.18
16.0,4.49E+06,2.17E-04,2.93E-04,,,,,,,,,,,,,,,2.84E-04,3.54E-04,,88.74
16.1,4.52E+06,2.16E-04,2.92E-04,,,,,,,,,,,,,,,2.84E-04,3.53E-04,,89.29
16.2,4.55E+06,2.15E-04,2.91E-04,,,,,,,,,,,,,,,2.83E-04,3.53E-04,,89.85
16.3,4.58E+06,2.15E-04,2.90E-04,,,,,,,,,,,,,,,2.83E-04,3.52E-04,,90.40
16.4,4.61E+06,2.14E-04,2.89E-04,,,,,,,,,,,,,,,2.82E-04,3.51E-04,,90.96
16.5,4.64E+06,2.13E-04,2.88E-04,,,,,,,,,,,,,,,2.82E-04,3.50E-04,,91.51
16.6,4.66E+06,2.12E-04,2.87E-04,,,,,,,,,,,,,,,2.82E-04,3.50E-04,,92.06
16.7,4.69E+06,2.12E-04,2.86E-04,,,,,,,,,,,,,,,2.81E-04,3.49E-04,,92.62
16.8,4.72E+06,2.11E-04,2.85E-04,,,,,,,,,,,,,,,2.81E-04,3.49E-04,,93.17
16.9,4.75E+06,2.10E-04,2.84E-04,,,,,,,,,,,,,,,2.81E-04,3.48E-04,,93.73
17.0,4.78E+06,2.09E-04,2.83E-04,,,,,,,,,,,,,,,2.80E-04,3.47E-04,,94.28
17.1,4.80E+06,2.09E-04,2.82E-04,,,,,,,,,,,,,,,2.80E-04,3.47E-04,,94.84
17.2,4.83E+06,2.08E-04,2.81E-04,,,,,,,,,,,,,,,2.80E-04,3.46E-04,,95.39
17.3,4.86E+06,2.07E-04,2.80E-04,,,,,,,,,,,,,,,2.79E-04,3.45E-04,,95.95
17.4,4.89E+06,2.07E-04,2.79E-04,,,,,,,,,,,,,,,2.79E-04,3.45E-04,,96.50
17.5,4.92E+06,2.06E-04,2.78E-04,,,,,,,,,,,,,,,2.79E-04,3.44E-04,,97.06
17.6,4.94E+06,2.05E-04,2.77E-04,,,,,,,,,,,,,,,2.78E-04,3.43E-04,,97.61
17.7,4.97E+06,2.05E-04,2.76E-04,,,,,,,,,,,,,,,2.78E-04,3.43E-04,,98.17
17.8,5.00E+06,2.04E-04,2.75E-04,,,,,,,,,,,,,,,2.78E-04,3.42E-04,,98.72
17.9,5.03E+06,2.03E-04,2.74E-04,,,,,,,,,,,,,,,2.77E-04,3.42E-04,,99.27
18.0,5.06E+06,2.03E-04,2.73E-04,,,,,,,,,,,,,,,2.77E-04,3.41E-04,,99.83
18.1,5.08E+06,2.02E-04,2.72E-04,,,,,,,,,,,,,,,2.77E-04,3.41E-04,,100.38
18.2,5.11E+06,2.01E-04,2.71E-04,,,,,,,,,,,,,,,2.76E-04,3.40E-04,,100.94
18.3,5.14E+06,2.01E-04,2.71E-04,,,,,,,,,,,,,,,2.76E-04,3.39E-04,,101.49
